ist-inventar_3
ist-inventar_3,,,,,,,,
ID,Typ,Priorität,Modul,Anforderung,Beschreibung,Status,Quelle,Bemerkung
NFR-SEC-01,NFR,1,Sonstiges,Echte Authentifizierung und Session-Management,"Produktive Authentifizierung mit sicherem Passwort-Hashing, JWT/Session-Tokens, automatischem Timeout, sicherem Logout und Brute-Force-Schutz.",Nicht implementiert,,Login ist hardcoded (admin / festes Passwort); kein Token-Management
NFR-SEC-02,NFR,1,Sonstiges,RBAC-Middleware auf Route-Ebene,"Durchgaengige rollenbasierte Zugriffskontrolle auf allen Routes und API-Endpunkten. Nicht nur UI-Sichtbarkeit, sondern serverseitige Pruefung.",Nicht implementiert,,Rollen existieren; Sichtbarkeit nur auf Dashboard-Ebene
NFR-SEC-03,NFR,1,Sonstiges,Audit-Trail fuer sensible Operationen,"Protokollierung aller Zugriffe auf sensible Daten (AHV-Aufdeckung, Statusaenderungen, Dokumenten-Zugriff) mit Zeitstempel, Benutzer und Aktion. Nicht loeschbar.",Nicht implementiert,,In CLAUDE.md gefordert; kein Code
NFR-SEC-04,NFR,1,Sonstiges,Datenverschluesselung,"Verschluesselung sensibler Daten at-rest (Datenbank) und in-transit (HTTPS/TLS). Besonderer Schutz fuer AHV, ZEMIS, IBAN und medizinische Daten.",Nicht implementiert,,Keine Verschluesselungs-Implementierung
NFR-DB-01,NFR,1,Sonstiges,Datenbank und Persistenz,"Produktive Datenbank (PostgreSQL via Prisma) mit Schema-Migrationen, Seed-Daten und Connection-Pooling. Daten ueberleben Server-Neustart und Browser-Refresh.",Nicht implementiert,,Alle Daten leben im React-State; kein Prisma-Schema vorhanden
NFR-DB-02,NFR,1,Sonstiges,Mehrbenutzer-Faehigkeit,Gleichzeitiger Zugriff mehrerer Benutzer auf dieselben Vorgaenge mit Konflikterkennung (optimistic locking) und Echtzeit-Synchronisation.,Nicht implementiert,,Single-User In-Memory-State
FR-SON-11,FR,1,Sonstiges,Workflow-Checkliste bearbeiten,"Workflow-Schritte koennen abgehakt, einer Person zugewiesen und mit Faelligkeitsdatum versehen werden. Die Checkliste ist uebergreifend verfuegbar in Onboarding, Patient-Detail und Angehoerigen-Detail.",Nicht implementiert,,WorkflowChecklist-Komponente existiert im Prototyp mit Mock-Daten; Persistenz fehlt
FR-SON-12,FR,1,Sonstiges,Benutzerverwaltung,"Benutzer koennen angelegt, bearbeitet und deaktiviert werden. Rollen (Diplomierte Pflegefachperson, Backoffice, Management) werden pro Benutzer zugewiesen. Einladung per E-Mail.",Nicht implementiert,,Nur Mock-Auth mit hardcoded Credentials vorhanden
FR-PEN-07,FR,1,Pendenzen,Tickets erstellen und bearbeiten,"Service-Desk-Tickets koennen manuell erstellt werden mit Titel, Beschreibung, Typ, Prioritaet und Zuweisung. Bestehende Tickets koennen bearbeitet werden (Status aendern, Kommentare, Neuzuweisung).",Nicht implementiert,,Unified-Ansicht existiert (read-only); CRUD-Operationen fehlen
FR-PEN-08,FR,1,Pendenzen,Automatische Ticket-Erstellung aus Workflows,"Workflow-Schritte erzeugen bei Faelligkeit automatisch Pendenzen (z.B. SRK-Anmeldung faellig → Pendenz fuer zustaendige Person). Verknuepfung zwischen Workflow-Schritt und erzeugter Pendenz.",Nicht implementiert,,Mock-Daten enthalten vordefinierte Workflow-Tasks; automatische Erzeugung fehlt
FR-PAT-07,FR,1,Patienten,Patient-Angehoerigen-Verlinkung,"Die n:m-Beziehung zwischen Patienten und Angehoerigen wird angezeigt und kann bearbeitet werden. Navigation von Patient zu verknuepften Angehoerigen und umgekehrt. Zuweisung neuer Verknuepfungen.",Nicht implementiert,,Datenmodell sieht n:m vor (CLAUDE.md); UI-Verlinkung fehlt
FR-PAT-08,FR,1,Patienten,Patienten-Stammdaten bearbeiten nach Onboarding,"Stammdaten (Personalien, Kontakt, Versicherung, Hausarzt) koennen in der Patient-360-Detailseite bearbeitet werden, nicht nur waehrend des Onboardings.",Nicht implementiert,,Formulare existieren im Onboarding; Editierung in Patient360 fehlt
FR-PAT-09,FR,1,Patienten,Ticket-Erstellung aus Patient-Detailseite,"Direkt aus der Patient-Detailseite kann ein Service-Desk-Ticket erstellt werden, das automatisch mit dem Patienten verknuepft ist.",Nicht implementiert,,Patient360 existiert; Ticket-Erstellung dort fehlt
FR-ANG-07,FR,1,Angehoerige,Dokumente hochladen in SharePoint aus Angehoerigen-Detail,"Dokumente koennen direkt aus der Angehoerigen-Detailseite in den zugehoerigen SharePoint-Ordner hochgeladen werden (Scan oder Datei-Upload).",Nicht implementiert,,Dokumente-Tab existiert im Prototyp; SharePoint-Anbindung fehlt
FR-ANG-08,FR,1,Angehoerige,Angehoerigen-Stammdaten bearbeiten,"Stammdaten (Personalien, HR-Daten, Quellensteuer, Familie, Bankverbindung) koennen in der Angehoerigen-360-Detailseite bearbeitet werden.",Nicht implementiert,,Formulare existieren im Onboarding; Editierung in Angehoerige360 fehlt
FR-ANG-09,FR,1,Angehoerige,Ticket-Erstellung aus Angehoerigen-Detailseite,"Direkt aus der Angehoerigen-Detailseite kann ein Service-Desk-Ticket erstellt werden, das automatisch mit dem Angehoerigen verknuepft ist.",Nicht implementiert,,Angehoerige360 existiert; Ticket-Erstellung dort fehlt
NFR-NOT-01,NFR,2,Sonstiges,Push-Benachrichtigungen,"Echtzeit-Benachrichtigungen bei relevanten Ereignissen (neue Pendenz, Arzt-Antwort, ueberfaellige Aufgabe) via WebSocket oder Push-API.",Nicht implementiert,,Glocken-Icon in Topbar existiert; keine Benachrichtigungslogik
